Id,año,messem,sem,finicio,ffin
121,2013,S,17,4/21/2013,4/27/2013
122,2013,S,18,4/28/2013,5/4/2013
123,2013,S,19,5/5/2013,5/11/2013
124,2013,S,20,5/12/2013,5/18/2013
125,2013,S,21,5/19/2013,5/25/2013
126,2013,S,22,5/26/2013,6/1/2013
127,2013,S,23,6/2/2013,6/8/2013
128,2013,S,24,6/9/2013,6/15/2013
129,2013,S,25,6/16/2013,6/22/2013
130,2013,S,26,6/23/2013,6/29/2013
131,2013,S,27,6/30/2013,7/6/2013
132,2013,S,28,7/7/2013,7/13/2013
133,2013,S,29,7/14/2013,7/20/2013
134,2013,S,30,7/21/2013,7/27/2013
135,2013,S,31,7/28/2013,8/3/2013
136,2013,S,32,8/4/2013,8/10/2013
137,2013,S,33,8/11/2013,8/17/2013
138,2013,S,34,8/18/2013,8/24/2013
139,2013,S,35,8/25/2013,8/31/2013
140,2013,S,36,9/1/2013,9/7/2013
141,2013,S,37,9/8/2013,9/14/2013
142,2013,S,38,9/15/2013,9/21/2013
143,2013,S,39,9/22/2013,9/28/2013
144,2013,S,40,9/29/2013,10/5/2013
145,2013,S,41,10/6/2013,10/12/2013
146,2013,S,42,10/13/2013,10/19/2013
147,2013,S,43,10/20/2013,10/26/2013
148,2013,S,44,10/27/2013,11/2/2013
149,2013,S,45,11/3/2013,11/9/2013
150,2013,S,46,11/10/2013,11/16/2013
151,2013,S,47,11/17/2013,11/23/2013
152,2013,S,48,11/24/2013,11/30/2013
153,2013,S,49,12/1/2013,12/7/2013
154,2013,S,50,12/8/2013,12/14/2013
155,2013,S,51,12/15/2013,12/21/2013
156,2013,S,52,12/22/2013,12/28/2013
157,2014,S,1,12/29/2013,1/4/2014
158,2014,S,2,1/5/2014,1/11/2014
159,2014,S,3,1/12/2014,1/18/2014
160,2014,S,4,1/19/2014,1/25/2014
161,2014,S,5,1/26/2014,2/1/2014
162,2014,S,6,2/2/2014,2/8/2014
163,2014,S,7,2/9/2014,2/15/2014
164,2014,S,8,2/16/2014,2/22/2014
165,2014,S,9,2/23/2014,3/1/2014
166,2014,S,10,3/2/2014,3/8/2014
167,2014,S,11,3/9/2014,3/15/2014
168,2014,S,12,3/16/2014,3/22/2014
169,2014,S,13,3/23/2014,3/29/2014
170,2014,S,14,3/30/2014,4/5/2014
171,2014,S,15,4/6/2014,4/12/2014
172,2014,S,16,4/13/2014,4/19/2014
173,2014,S,17,4/20/2014,4/26/2014
174,2014,S,18,4/27/2014,5/3/2014
175,2014,S,19,5/4/2014,5/10/2014
176,2014,S,20,5/11/2014,5/17/2014
177,2014,S,21,5/18/2014,5/24/2014
178,2014,S,22,5/25/2014,5/31/2014
179,2014,S,23,6/1/2014,6/7/2014
180,2014,S,24,6/8/2014,6/14/2014
181,2014,S,25,6/15/2014,6/21/2014
182,2014,S,26,6/22/2014,6/28/2014
183,2014,S,27,6/29/2014,7/5/2014
184,2014,S,28,7/6/2014,7/12/2014
185,2014,S,29,7/13/2014,7/19/2014
186,2014,S,30,7/20/2014,7/26/2014
187,2014,S,31,7/27/2014,8/2/2014
188,2014,S,32,8/3/2014,8/9/2014
189,2014,S,33,8/10/2014,8/16/2014
190,2014,S,34,8/17/2014,8/23/2014
191,2014,S,35,8/24/2014,8/30/2014
192,2014,S,36,8/31/2014,9/6/2014
193,2014,S,37,9/7/2014,9/13/2014
194,2014,S,38,9/14/2014,9/20/2014
195,2014,S,39,9/21/2014,9/27/2014
196,2014,S,40,9/28/2014,10/4/2014
197,2014,S,41,10/5/2014,10/11/2014
198,2014,S,42,10/12/2014,10/18/2014
199,2014,S,43,10/19/2014,10/25/2014
200,2014,S,44,10/26/2014,11/1/2014
201,2014,S,45,11/2/2014,11/8/2014
202,2014,S,46,11/9/2014,11/15/2014
203,2014,S,47,11/16/2014,11/22/2014
204,2014,S,48,11/23/2014,11/29/2014
205,2014,S,49,11/30/2014,12/6/2014
206,2014,S,50,12/7/2014,12/13/2014
207,2014,S,51,12/14/2014,12/20/2014
208,2014,S,52,12/21/2014,12/27/2014
209,2015,S,1,12/28/2014,1/3/2015
210,2015,S,2,1/4/2015,1/10/2015
211,2015,S,3,1/11/2015,1/17/2015
212,2015,S,4,1/18/2015,1/24/2015
213,2015,S,5,1/25/2015,1/31/2015
214,2015,S,6,2/1/2015,2/7/2015
215,2015,S,7,2/8/2015,2/14/2015
216,2015,S,8,2/15/2015,2/21/2015
217,2015,S,9,2/22/2015,2/28/2015
218,2015,S,10,3/1/2015,3/7/2015
219,2015,S,11,3/8/2015,3/14/2015
220,2015,S,12,3/15/2015,3/21/2015
221,2015,S,13,3/22/2015,3/28/2015
222,2015,S,14,3/29/2015,4/4/2015
223,2015,S,15,4/5/2015,4/11/2015
224,2015,S,16,4/12/2015,4/18/2015
225,2015,S,17,4/19/2015,4/25/2015
226,2015,S,18,4/26/2015,5/2/2015
227,2015,S,19,5/3/2015,5/9/2015
228,2015,S,20,5/10/2015,5/16/2015
229,2015,S,21,5/17/2015,5/23/2015
